"","ExperimentTitle","SampleName","SampleDescription","SequencingDate","PrevailingLightConditions","SamplingTime","SciLifeID","Experiment"
"1","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD-3-1TR01","light/ dark cycles 3h before dawn Day 1.","2013-09-10T12:00:00","Dark",-3,"P462_201","LD"
"3","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD-3-2TR01","light/ dark cycles 3h before dawn Day 1.","2013-09-10T12:00:00","Dark",-3,"P462_202","LD"
"5","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD-3-3TR01","light/ dark cycles 3h before dawn Day 1.","2013-09-10T12:00:00","Dark",-3,"P462_203","LD"
"7","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD-3-4TR01","light/ dark cycles 3h before dawn Day 1.","2013-09-10T12:00:00","Dark",-3,"P462_204","LD"
"9","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD1-5TR01","light/ dark cycles 1h after dawn Day 1.","2013-09-10T12:00:00","Light",1,"P462_205F","LD"
"11","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD1-6TR01","light/ dark cycles 1h after dawn Day 1.","2013-09-10T12:00:00","Light",1,"P462_206","LD"
"13","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD1-7TR01","light/ dark cycles 1h after dawn Day 1.","2013-09-10T12:00:00","Light",1,"P462_207","LD"
"15","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD1-8TR01","light/ dark cycles 1h after dawn Day 1.","2013-09-10T12:00:00","Light",1,"P462_208","LD"
"17","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD5-9TR01","light/ dark cycles 5h after dawn Day 1.","2013-09-10T12:00:00","Light",5,"P462_209","LD"
"19","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD5-10TR01","light/ dark cycles 5h after dawn Day 1.","2013-09-10T12:00:00","Light",5,"P462_210","LD"
"21","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD5-11TR01","light/ dark cycles 5h after dawn Day 1.","2013-09-10T12:00:00","Light",5,"P462_211","LD"
"23","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD5-12TR01","light/ dark cycles 5h after dawn Day 1.","2013-09-10T12:00:00","Light",5,"P462_212","LD"
"25","Diurnal gene expression  (18h L: 6h D; 18C:18C)","PabLD9-13TR01","light/ dark cycles 9h after dawn Day 1.","2013-09-10T12:00:00","Light",9,"P462_213","LD"
