"SciLifeID","Experiment","info","SampleDescription","PrevailingLightConditions","SamplingTime"
FCHKJF7BBXX_L5_HKPLAvftRAAARAAPEI-220, Pab, 1A, 01. light/ dark cycles 3h before dawn Day 1.,"Dark",-3
FCHKJF7BBXX_L5_HKPLAvftRAABRAAPEI-221, Pab, 1B, 01. light/ dark cycles 3h before dawn Day 1.,"Dark",-3
FCHKJF7BBXX_L5_HKPLAvftRAACRAAPEI-222, Pab, 1C, 01. light/ dark cycles 3h before dawn Day 1.,"Dark",-3
FCHKJF7BBXX_L5_HKPLAvftRAADRAAPEI-223, Pab, 2A, 02. light/ dark cycles 1h after dawn Day 1.,"Light",1
FCHKJF7BBXX_L5_HKPLAvftRAAERAAPEI-225, Pab, 2B, 02. light/ dark cycles 1h after dawn Day 1.,"Light",1
FCHKJF7BBXX_L5_HKPLAvftRAAFRAAPEI-227, Pab, 2C, 02. light/ dark cycles 1h after dawn Day 1.,"Light",1
FCHKJF7BBXX_L1_HKPLAvftRAAGRAAPEI-202, Pab, 3A, 03. light/ dark cycles 5h after dawn Day 1.,"Light",5
FCHKJF7BBXX_L1_HKPLAvftRAAHRAAPEI-205, Pab, 3B, 03. light/ dark cycles 5h after dawn Day 1.,"Light",5
FCHKJF7BBXX_L1_HKPLAvftRAAIRAAPEI-206, Pab, 3C, 03. light/ dark cycles 5h after dawn Day 1.,"Light",5
FCHKJF7BBXX_L1_HKPLAvftRAAJRAAPEI-207, Pab, 4A, 04. light/ dark cycles 9h after dawn Day 1.,"Light",9
FCHKJF7BBXX_L5_HKPLAvftRAAKRAAPEI-208, Pab, 4B, 04. light/ dark cycles 9h after dawn Day 1.,"Light",9
FCHKJF7BBXX_L5_HKPLAvftRAALRAAPEI-209, Pab, 4C, 04. light/ dark cycles 9h after dawn Day 1.,"Light",9
FCHKJF7BBXX_L3_HKPLAvftRAAMRAAPEI-210, Pab, 5A, 05. light/ dark cycles 13h after dawn Day 1.,"Light",13
FCHKJF7BBXX_L3_HKPLAvftRAANRAAPEI-211, Pab, 5B, 05. light/ dark cycles 13h after dawn Day 1.,"Light",13
FCHKJF7BBXX_L3_HKPLAvftRAAORAAPEI-212, Pab, 5C, 05. light/ dark cycles 13h after dawn Day 1.,"Light",13
FCHKJF7BBXX_L3_HKPLAvftRAAPRAAPEI-213, Pab, 6A, 06. light/ dark cycles 17h after dawn Day 1.,"Light",17
FCHKJF7BBXX_L3_HKPLAvftRAAQRAAPEI-214, Pab, 6B, 06. light/ dark cycles 17h after dawn Day 1.,"Light",17
