Sampling_Date,Sampling_ID,Sequencing_ID
2011-05-16,NE-001,5_120522_BD0YETACXX_1_index1
2011-05-16,NE-002,5_120522_BD0YETACXX_2_index2
2011-05-16,NE-003,5_120522_BD0YETACXX_3_index3
2011-05-19,NE-004,5_120522_BD0YETACXX_4_index4
2011-05-19,NE-005,5_120522_BD0YETACXX_5_index5
2011-05-19,NE-006,5_120522_BD0YETACXX_6_index6
2011-05-19,NE-007,5_120522_BD0YETACXX_7_index7
2011-05-24,NE-008,5_120522_BD0YETACXX_8_index8
2011-05-24,NE-009,5_120522_BD0YETACXX_9_index9
2011-05-24,NE-010,5_120522_BD0YETACXX_10_index10
2011-05-27,NE-011,5_120522_BD0YETACXX_11_index11
2011-05-27,NE-012,5_120522_BD0YETACXX_12_index12
2011-05-27,NE-013,2_120524_BC0R4LACXX_13_index13
2011-05-31,NE-014,2_120524_BC0R4LACXX_14_index14
2011-05-31,NE-015,2_120524_BC0R4LACXX_15_index15
2011-05-31,NE-016,2_120524_BC0R4LACXX_16_index16
2011-06-03,NE-017,2_120524_BC0R4LACXX_17_3ug_index18
2011-06-03,NE-018,3_120613_AC0TMMACXX_18_index1
2011-06-03,NE-018,8_120731_BD16FCACXX_18_index1
2011-06-03,NE-019,3_120613_AC0TMMACXX_19_index2
2011-06-03,NE-019,8_120731_BD16FCACXX_19_index2
2011-06-07,NE-020,3_120613_AC0TMMACXX_20_index3
2011-06-07,NE-020,8_120731_BD16FCACXX_20_index3
2011-06-07,NE-021,3_120613_AC0TMMACXX_21_index4
2011-06-07,NE-021,8_120731_BD16FCACXX_21_index4
2011-06-07,NE-022,3_120613_AC0TMMACXX_22_index5
2011-06-07,NE-022,8_120731_BD16FCACXX_22_index5
2011-06-10,NE-023,3_120613_AC0TMMACXX_23_index6
2011-06-10,NE-023,8_120731_BD16FCACXX_23_index6
2011-06-10,NE-024,3_120613_AC0TMMACXX_24_index7
2011-06-10,NE-024,8_120731_BD16FCACXX_24_index7
2011-06-10,NE-025,3_120613_AC0TMMACXX_25_index8
2011-06-10,NE-025,8_120731_BD16FCACXX_25_index8
2011-06-14,NE-026,3_120613_AC0TMMACXX_26_index9
2011-06-14,NE-026,8_120731_BD16FCACXX_26_index9
2011-06-14,NE-027,3_120613_AC0TMMACXX_27_index10
2011-06-14,NE-027,8_120731_BD16FCACXX_27_index10
2011-06-14,NE-028,3_120613_AC0TMMACXX_28_index11
2011-06-14,NE-028,8_120731_BD16FCACXX_28_index11
2011-06-17,NE-029,3_120613_AC0TMMACXX_29_index12
2011-06-17,NE-029,8_120731_BD16FCACXX_29_index12
2011-06-17,NE-030,2_120613_AC0TMMACXX_30_index13
2011-06-17,NE-031,2_120613_AC0TMMACXX_31_index14
2011-06-20,NE-032,2_120613_AC0TMMACXX_32_index15
2011-06-20,NE-033,2_120613_AC0TMMACXX_33_index16
2011-06-20,NE-034,2_120613_AC0TMMACXX_34_index18
2011-06-20,TR00034,2_130717_AH0JVPADXX_P463_201B_dual1
2011-06-20,TR00034,1_130717_AH0JVPADXX_P463_201B_dual1
2011-06-23,NE-035,2_120613_AC0TMMACXX_35_index19
2011-06-23,TR00035,2_130717_AH0JVPADXX_P463_202_dual2
2011-06-23,TR00035,1_130717_AH0JVPADXX_P463_202_dual2
2011-06-23,NE-036,4_120613_AC0TMMACXX_36B_index20
2011-06-23,NE-036,8_120731_BD16FCACXX_36B_index20
2011-06-23,NE-037,2_120613_AC0TMMACXX_37_index21
2011-06-27,TR00038,2_130717_AH0JVPADXX_P463_203B_dual3
2011-06-27,TR00038,1_130717_AH0JVPADXX_P463_203B_dual3
2011-06-27,NE-039,2_120613_AC0TMMACXX_38_index22
2011-06-27,NE-040,2_120613_AC0TMMACXX_39_index23
2011-06-30,TR00041,2_130717_AH0JVPADXX_P463_204_dual4
2011-06-30,TR00041,1_130717_AH0JVPADXX_P463_204_dual4
2011-07-04,NE-044,4_120613_AC0TMMACXX_40B_index25
2011-07-04,NE-044,8_120731_BD16FCACXX_40B_index25
2011-07-04,NE-045,2_120613_AC0TMMACXX_41_index27
2011-07-04,NE-046,2_120613_AC0TMMACXX_42_index1
2011-07-11,NE-047,2_120613_AC0TMMACXX_43_index2
2011-07-11,TR00047,2_130717_AH0JVPADXX_P463_205F_dual5
2011-07-11,TR00047,1_130717_AH0JVPADXX_P463_205F_dual5
2011-07-11,TR00048,2_130717_AH0JVPADXX_P463_206_dual6
2011-07-11,TR00048,1_130717_AH0JVPADXX_P463_206_dual6
2011-07-11,NE-049,5_120611_AC0Y7HACXX_44_index3
2011-07-11,TR00049,2_130717_AH0JVPADXX_P463_207_dual7
2011-07-11,TR00049,1_130717_AH0JVPADXX_P463_207_dual7
2011-07-18,NE-050,5_120611_AC0Y7HACXX_45_index4
2011-07-18,TR00050,2_130717_AH0JVPADXX_P463_208B_dual8
2011-07-18,TR00050,1_130717_AH0JVPADXX_P463_208B_dual8
2011-07-18,TR00051,2_130717_AH0JVPADXX_P463_209_dual9
2011-07-18,TR00051,1_130717_AH0JVPADXX_P463_209_dual9
